iter	Passed	Remaining
0	47	47945
1	49	24466
2	49	16569
3	50	12646
4	51	10281
5	52	8697
6	53	7558
7	53	6649
8	53	5936
9	54	5365
10	54	4893
11	54	4501
12	54	4168
13	55	3883
14	55	3636
15	55	3420
16	55	3229
17	56	3063
18	56	2911
19	56	2774
20	56	2651
21	57	2541
22	57	2440
23	57	2347
24	57	2261
25	58	2182
26	58	2109
27	58	2041
28	59	1978
29	59	1919
30	59	1863
31	59	1812
32	60	1763
33	60	1717
34	60	1673
35	60	1632
36	61	1593
37	61	1556
38	62	1538
39	62	1504
40	62	1473
41	63	1442
42	63	1413
43	63	1385
44	64	1358
45	64	1333
46	64	1308
47	64	1285
48	65	1262
49	65	1240
50	65	1220
51	65	1200
52	66	1181
53	66	1163
54	66	1145
55	66	1128
56	67	1111
57	67	1095
58	67	1079
59	67	1064
60	68	1050
61	68	1036
62	68	1024
63	69	1013
64	69	1002
65	70	992
66	70	980
67	70	966
68	70	954
69	71	943
70	71	932
71	71	922
72	71	911
73	72	901
74	72	891
75	72	882
76	72	873
77	73	864
78	73	855
79	73	847
80	73	839
81	74	831
82	74	822
83	74	815
84	74	806
85	75	798
86	75	790
87	75	783
88	75	776
89	76	770
90	76	763
91	76	758
92	77	752
93	77	746
94	77	740
95	77	734
96	78	729
97	78	723
98	78	718
99	79	712
100	79	707
101	79	700
102	79	695
103	80	690
104	80	684
105	80	679
106	80	674
107	81	671
108	81	666
109	81	662
110	82	657
111	82	654
112	82	650
113	83	646
114	83	642
115	83	638
116	84	633
117	84	630
118	84	625
119	84	621
120	85	618
121	85	614
122	85	609
123	86	608
124	86	604
125	86	602
126	87	599
127	87	595
128	87	591
129	87	588
130	88	587
131	88	583
132	89	580
133	89	579
134	89	576
135	90	573
136	90	570
137	90	566
138	90	563
139	91	560
140	91	557
141	91	554
142	92	551
143	92	548
144	92	545
145	92	542
146	93	539
147	93	537
148	93	534
149	93	531
150	94	529
151	94	526
152	94	523
153	94	521
154	95	518
155	95	515
156	95	513
157	95	511
158	96	508
159	96	506
160	96	504
161	97	502
162	97	500
163	97	497
164	97	495
165	98	493
166	98	491
167	98	489
168	99	487
169	99	484
170	99	482
171	99	480
172	100	479
173	100	476
174	100	474
175	100	472
176	101	470
177	101	468
178	101	467
179	102	465
180	102	462
181	102	460
182	102	459
183	103	457
184	103	455
185	103	454
186	104	452
187	104	451
188	104	450
189	105	448
190	105	447
191	105	445
192	106	443
193	106	442
194	106	440
195	106	438
196	107	437
197	107	435
198	107	433
199	108	432
200	108	430
201	108	428
202	108	427
203	109	425
204	109	423
205	109	422
206	109	420
207	110	419
208	110	417
209	110	416
210	110	414
211	111	413
212	111	412
213	111	410
214	112	409
215	112	408
216	112	406
217	112	405
218	113	403
219	113	402
220	113	401
221	114	399
222	114	398
223	114	397
224	114	395
225	115	394
226	115	393
227	115	391
228	116	390
229	116	389
230	116	387
231	116	386
232	117	385
233	117	383
234	117	382
235	117	381
236	118	379
237	118	378
238	118	377
239	118	376
240	118	374
241	119	373
242	119	372
243	119	371
244	120	369
245	120	368
246	120	367
247	120	366
248	120	364
249	121	363
250	121	362
251	121	361
252	121	360
253	122	358
254	122	357
255	122	356
256	123	355
257	123	354
258	123	353
259	123	352
260	124	351
261	124	350
262	124	348
263	124	347
264	125	346
265	125	345
266	125	344
267	125	343
268	126	342
269	126	341
270	126	340
271	126	339
272	127	338
273	127	337
274	127	336
275	127	335
276	128	334
277	128	333
278	128	332
279	129	331
280	129	330
281	129	329
282	129	328
283	130	327
284	130	326
285	130	325
286	130	324
287	131	323
288	131	323
289	131	322
290	132	322
291	132	321
292	132	320
293	132	319
294	133	318
295	133	317
296	133	316
297	134	315
298	134	314
299	134	313
300	134	312
301	135	312
302	135	311
303	135	310
304	135	309
305	136	308
306	136	307
307	136	306
308	136	305
309	137	304
310	137	304
311	137	303
312	137	302
313	138	301
314	138	300
315	138	300
316	138	299
317	139	298
318	139	297
319	139	296
320	139	296
321	140	295
322	140	294
323	140	294
324	141	293
325	141	292
326	141	291
327	141	290
328	142	290
329	142	289
330	142	288
331	143	287
332	143	287
333	143	286
334	143	285
335	144	284
336	144	284
337	144	283
338	144	282
339	145	281
340	145	281
341	145	280
342	145	279
343	146	278
344	146	278
345	146	277
346	146	276
347	147	275
348	147	275
349	147	274
350	147	273
351	148	272
352	148	272
353	148	271
354	148	270
355	149	269
356	149	269
357	149	268
358	149	267
359	150	266
360	150	266
361	150	265
362	150	264
363	151	264
364	151	263
365	151	262
366	151	262
367	152	261
368	152	260
369	152	260
370	152	259
371	153	258
372	153	258
373	153	257
374	154	256
375	154	256
376	154	255
377	154	254
378	155	254
379	155	253
380	155	252
381	155	252
382	156	251
383	156	251
384	156	250
385	157	250
386	157	249
387	157	249
388	158	248
389	158	248
390	158	247
391	159	246
392	159	246
393	159	245
394	160	245
395	160	244
396	160	244
397	161	243
398	161	242
399	161	242
400	161	241
401	162	241
402	162	240
403	162	239
404	162	239
405	163	238
406	163	238
407	163	237
408	164	236
409	164	236
410	164	235
411	164	235
412	165	234
413	165	234
414	165	233
415	165	232
416	166	232
417	166	231
418	166	231
419	167	230
420	167	230
421	167	229
422	168	229
423	168	228
424	168	228
425	169	227
426	169	227
427	169	226
428	169	226
429	170	225
430	170	225
431	170	224
432	171	223
433	171	223
434	171	222
435	171	222
436	172	221
437	172	221
438	172	220
439	173	220
440	173	219
441	173	219
442	173	218
443	174	218
444	174	217
445	174	217
446	175	216
447	175	216
448	175	215
449	176	215
450	176	214
451	177	214
452	177	214
453	177	213
454	178	213
455	178	212
456	178	212
457	179	211
458	179	211
459	179	210
460	179	210
461	180	209
462	180	209
463	180	208
464	180	208
465	181	207
466	181	207
467	181	206
468	182	206
469	182	205
470	182	205
471	182	204
472	183	204
473	183	203
474	183	203
475	184	202
476	184	202
477	184	201
478	184	201
479	185	200
480	185	200
481	185	199
482	185	199
483	186	198
484	186	197
485	186	197
486	187	197
487	187	196
488	187	195
489	187	195
490	188	195
491	188	194
492	188	193
493	188	193
494	189	192
495	189	192
496	189	192
497	190	191
498	190	191
