iter	Passed	Remaining
0	47	47608
1	48	24293
2	49	16436
3	50	12499
4	50	10133
5	51	8561
6	52	7452
7	53	6581
8	53	5872
9	53	5304
10	53	4838
11	54	4450
12	54	4122
13	54	3841
14	54	3598
15	55	3385
16	55	3198
17	55	3031
18	56	2920
19	56	2784
20	57	2660
21	57	2548
22	57	2446
23	57	2352
24	58	2267
25	58	2187
26	58	2113
27	58	2044
28	59	1980
29	59	1921
30	59	1864
31	59	1812
32	60	1763
33	60	1717
34	60	1673
35	60	1632
36	61	1594
37	61	1557
38	61	1522
39	62	1489
40	62	1457
41	62	1427
42	62	1398
43	63	1370
44	63	1344
45	63	1319
46	63	1295
47	64	1272
48	64	1250
49	64	1229
50	64	1208
51	65	1188
52	65	1168
53	65	1150
54	65	1132
55	66	1115
56	66	1099
57	66	1082
58	66	1067
59	67	1052
60	67	1038
61	67	1024
62	67	1010
63	68	997
64	68	984
65	68	972
66	68	959
67	69	948
68	69	936
69	69	925
70	69	914
71	70	904
72	70	893
73	70	884
74	70	874
75	71	865
76	71	856
77	71	848
78	72	840
79	72	832
80	72	824
81	72	816
82	73	807
83	73	799
84	73	791
85	73	784
86	74	776
87	74	769
88	74	762
89	74	755
90	74	748
91	75	742
92	75	735
93	75	729
94	75	723
95	76	717
96	76	712
97	76	706
98	76	700
99	77	695
100	77	689
101	77	684
102	78	679
103	78	674
104	78	669
105	78	664
106	79	660
107	79	656
108	79	652
109	80	648
110	80	644
111	80	640
112	81	635
113	81	631
114	81	627
115	81	622
116	81	618
117	82	614
118	82	610
119	82	606
120	82	602
121	83	597
122	83	594
123	83	590
124	83	586
125	84	583
126	84	579
127	84	575
128	84	572
129	84	568
130	85	565
131	85	562
132	85	558
133	85	555
134	86	552
135	86	549
136	86	546
137	86	543
138	87	540
139	87	537
140	87	535
141	88	531
142	88	528
143	88	526
144	88	523
145	88	520
146	89	517
147	89	515
148	89	512
149	89	509
150	90	507
151	90	504
152	90	501
153	90	499
154	91	497
155	91	494
156	91	492
157	91	489
158	92	487
159	92	485
160	92	482
161	92	480
162	93	477
163	93	475
164	93	473
165	93	471
166	94	469
167	94	467
168	94	465
169	95	463
170	95	462
171	95	460
172	95	458
173	96	456
174	96	455
175	96	452
176	96	450
177	97	448
178	97	446
179	97	445
180	97	443
181	98	441
182	98	439
183	98	437
184	98	436
185	99	434
186	99	432
187	99	430
188	99	428
189	100	426
190	100	425
191	100	423
192	100	421
193	101	420
194	101	418
195	101	417
196	101	415
197	102	414
198	102	413
199	102	411
200	103	410
201	103	409
202	103	407
203	104	406
204	104	404
205	104	403
206	104	401
207	105	400
208	105	398
209	105	397
210	105	395
211	106	394
212	106	392
213	106	391
214	106	389
215	106	388
216	107	386
217	107	385
218	107	384
219	107	382
220	108	381
221	108	380
222	108	378
223	109	377
224	109	376
225	109	375
226	109	374
227	110	373
228	110	372
229	110	370
230	111	369
231	111	368
232	111	367
233	111	366
234	112	364
235	112	363
236	112	362
237	112	360
238	112	359
239	113	358
240	113	357
241	113	355
242	113	354
243	114	353
244	114	352
245	114	351
246	114	349
247	115	348
248	115	347
249	115	346
250	115	345
251	115	344
252	116	343
253	116	341
254	116	340
255	116	339
256	117	338
257	117	337
258	117	336
259	117	335
260	118	334
261	118	334
262	118	333
263	119	332
264	119	331
265	119	330
266	119	328
267	120	327
268	120	326
269	120	325
270	120	324
271	121	323
272	121	323
273	121	322
274	121	321
275	122	320
276	122	319
277	122	318
